,assets,money invested,weights,return,pf_return,Pf_volatilities
AAPL,AAPL,6842,0.1401503512976505,0.4760947044668616,0.24398457831270215,0.22252980525830163
SHLX,SHLX,2041,0.0418074929842889,0.0459975030874598,0.24398457831270215,0.22252980525830163
VYM,VYM,7816,0.1601015997869682,0.14433584005639108,0.24398457831270215,0.22252980525830163
VHT,VHT,244,0.004998054036338311,0.15272035120832264,0.24398457831270215,0.22252980525830163
VIG,VIG,1611,0.03299944693664352,0.17785656394484933,0.24398457831270215,0.22252980525830163
VGT,VGT,414,0.008480304799360905,0.2985594686038542,0.24398457831270215,0.22252980525830163
AY,AY,162,0.003318380138880354,0.21863119334873293,0.24398457831270215,0.22252980525830163
HASI,HASI,82,0.001679673897457957,0.26690509938750967,0.24398457831270215,0.22252980525830163
CWEN,CWEN,330,0.006759663245867388,0.24994923023976337,0.24398457831270215,0.22252980525830163
F,F,534,0.0109383641614945,0.2871383238330402,0.24398457831270215,0.22252980525830163
NIO,NIO,125,0.0025604785022224955,0.44330555006011113,0.24398457831270215,0.22252980525830163
VUG,VUG,855,0.017513672955201866,0.24694979135463802,0.24398457831270215,0.22252980525830163
COST,COST,5144,0.10536881132346013,0.3099819610581452,0.24398457831270215,0.22252980525830163
EVC,EVC,696,0.014256744300374853,0.2917852953197609,0.24398457831270215,0.22252980525830163
GOOGL,GOOGL,2743,0.05618714025277044,0.30296147848202565,0.24398457831270215,0.22252980525830163
METV,METV,889,0.018210123107806387,-0.26967774350835044,0.24398457831270215,0.22252980525830163
VOO,VOO,12294,0.25182818165058685,0.2002179688191951,0.24398457831270215,0.22252980525830163
MSFT,MSFT,4503,0.09223867756406318,0.3567054738473695,0.24398457831270215,0.22252980525830163
RBLX,RBLX,1494,0.030602839058563265,-0.02146578251236751,0.24398457831270215,0.22252980525830163
